LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
10152,161127,FALSE,125,400,928
31819,105820,TRUE,51,400,804
45983,202260,TRUE,28,400,881
54778,92595,FALSE,146,400,595
112200,171360,TRUE,35,400,-1
13572,209754,FALSE,94,400,848
33726,322976,TRUE,81,400,1028
59508,81523,TRUE,103,400,-1
59508,81523,TRUE,103,400,1292
41222,117999,FALSE,43,403,566
128766,77497,FALSE,134,403,678
72506,145015,TRUE,97,403,677
32000,157500,TRUE,59,403,-1
163200,270300,FALSE,60,403,-1
72506,157149,TRUE,53,403,697
40469,425000,FALSE,107,403,859
82022,196578,FALSE,123,404,699
14296,51450,TRUE,132,404,708
36781,36077,TRUE,113,404,825
83662,208215,TRUE,71,405,827
61351,58564,FALSE,110,405,993
63887,152956,TRUE,74,405,711
145858,210134,TRUE,48,405,651
63117,220038,TRUE,118,405,952
24732,189000,FALSE,128,405,1289
56624,68914,FALSE,127,405,764
60665,72815,TRUE,73,405,981
107174,306097,TRUE,112,405,1117
96498,193000,FALSE,82,405,852
125517,238825,FALSE,93,405,930
46411,18566,FALSE,110,406,636
91221,124920,TRUE,108,406,673
18360,214200,FALSE,35,406,839
190860,325952,FALSE,101,406,827
190860,325952,FALSE,101,406,827
73503,221031,FALSE,100,406,1019
53286,56328,TRUE,114,406,582
30916,142800,FALSE,76,406,644
42046,173968,FALSE,109,406,557
115997,184493,TRUE,93,406,615
41014,110614,TRUE,65,406,740
72061,189733,TRUE,132,407,1096
61833,367200,FALSE,78,407,918
151493,128347,TRUE,53,407,662
25764,167688,TRUE,123,407,635
49981,86423,FALSE,128,407,762
40000,115000,TRUE,52,410,-1
26279,151647,FALSE,89,410,596
108757,256582,TRUE,82,410,607
82022,66929,FALSE,140,410,606
30682,63334,FALSE,90,410,754
14740,105582,TRUE,70,410,658
78322,268260,FALSE,84,410,644
98426,114606,FALSE,115,410,928
50000,310000,TRUE,84,410,812
11203,418525,FALSE,81,410,904
63887,144026,TRUE,125,411,-1
127500,367200,FALSE,113,411,1012
83662,228929,TRUE,106,411,1271
87025,489106,TRUE,71,411,988
110000,225000,FALSE,112,413,939
35162,214016,FALSE,93,414,624
41222,387600,FALSE,72,414,-1
26256,50608,FALSE,96,414,-1
81879,187991,TRUE,120,414,720
77259,14165,FALSE,137,414,-1
60000,13500,FALSE,67,414,1048
59080,84263,TRUE,83,417,1013
81879,159106,TRUE,62,417,798
47562,96594,TRUE,19,417,957
145185,195157,TRUE,31,417,775
11260,295000,FALSE,94,417,1047
38355,129738,FALSE,68,418,-1
70434,116157,TRUE,115,418,1000
18648,37000,TRUE,84,418,-1
77783,275750,TRUE,89,418,1363
12802,4805,FALSE,51,418,-1
64770,125000,FALSE,92,418,-1
75082,258673,TRUE,52,418,556
51995,62000,FALSE,105,418,-1
40000,155000,TRUE,113,418,-1
107219,171683,FALSE,132,418,963
94606,67150,FALSE,74,418,748
129301,393255,TRUE,97,418,971
30916,135152,FALSE,16,418,-1
85672,18000,FALSE,74,418,-1
58458,84903,TRUE,101,418,1020
60171,132484,TRUE,77,418,665
67695,140040,FALSE,158,418,1042
82022,88740,FALSE,92,418,760
135000,493000,FALSE,81,418,952
59175,100970,TRUE,148,418,-1
118356,267495,TRUE,111,418,726
145185,188376,FALSE,125,418,1006
20366,239062,TRUE,64,418,998
20366,239062,TRUE,64,418,998
73612,196217,FALSE,61,418,1061
98426,342544,TRUE,79,421,838
54945,160865,FALSE,80,421,776
22711,431323,FALSE,99,421,-1
44309,145544,TRUE,77,421,658
69692,59916,FALSE,105,424,853
101970,142776,TRUE,87,424,718
25764,250000,TRUE,46,424,1140
124778,59765,FALSE,130,424,901
82087,32837,FALSE,70,424,1051
121008,279500,TRUE,75,424,1383
51045,114471,TRUE,29,424,-1
75053,190019,FALSE,158,425,771
122400,183600,TRUE,130,425,782
39776,94737,TRUE,115,426,911
36069,174165,TRUE,48,426,540
12190,118815,FALSE,40,426,804
97791,111365,FALSE,54,426,1308
40970,61800,TRUE,151,427,589
81237,79297,TRUE,87,427,578
30916,285000,FALSE,95,427,1049
28339,139230,TRUE,128,427,567
107219,194830,TRUE,139,428,1030
154713,220940,FALSE,99,428,693
63117,188913,FALSE,102,428,973
20611,138720,TRUE,91,431,-1
140195,163784,TRUE,133,431,740
100000,225000,FALSE,91,431,823
122400,387600,FALSE,117,431,908
85140,55753,FALSE,118,431,592
58017,73104,TRUE,123,431,967
126141,207839,FALSE,70,432,740
61408,136481,FALSE,148,433,893
65094,82851,FALSE,93,433,693
88702,264773,FALSE,130,434,-1
