pre_application_distribution,planning_level,public_works_level,fire_level,special_zoning_level,agency_referral_level,n_runs_proxy,seed,completed_permits,mean_total_days,mean_application_to_ready_days,planning_to_ready_n,debris_blocking_wait_count,debris_blocking_wait_share,debris_blocking_wait_mean_days,debris_blocking_wait_median_days,debris_blocking_wait_max_days,median_total_days,std_total_days,min_total_days,max_total_days,mean_wait_days,mean_service_days,county_review_mean,applicant_mean,debris_mean,step_wait_mean__epa_debris,step_service_mean__epa_debris,step_wait_mean__usace_debris,step_service_mean__usace_debris,step_wait_mean__pre_application_activities,step_service_mean__pre_application_activities,step_wait_mean__applicant_revisions,step_service_mean__applicant_revisions,step_wait_mean__planning,step_service_mean__planning,step_wait_mean__agency_referral,step_service_mean__agency_referral,step_wait_mean__special_zoning,step_service_mean__special_zoning,step_wait_mean__public_works,step_service_mean__public_works,step_wait_mean__fire_review,step_service_mean__fire_review
poisson_10,0.5,1.0,1.0,0.5,1.5,4.5,46.5,1200.0,102.85301286187214,92.85159619520546,1200.0,12.1,0.010083333333333333,6.193020589637744,5.693631759910384,16.010356752435253,95.28148650468489,39.27591898867247,22.93609870347313,414.7174547809598,16.724531301151252,110.17489739007092,38.725547575780205,73.30033008792044,14.87355102752152,3.1823210495277823,1.0101122497518138,8.183117728241925,2.498,0.0,10.001416666666668,0.0,63.29891342125378,5.326796109729729,3.4002215193089596,0.0,11.314585677390625,0.0,5.604144798024995,0.0,8.330864200694716,0.03229641365181546,4.716638856979365
poisson_10,0.5,0.5,1.0,1.0,1.0,4.5,46.5,1200.0,102.96966227804849,92.96824561138183,1200.0,16.4,0.013666666666666666,7.7704827319127645,6.133537867672693,22.41312494720393,93.09975787816167,44.13376193875196,19.842054186236272,492.8923802922212,16.656392297237403,108.25179313203326,36.2728138724079,73.7988664465129,14.83650511034985,3.1672632857202094,1.0034626493294905,8.170945841966816,2.4948333333333332,0.0,10.001416666666668,0.0,63.797449779846225,5.314602363170637,3.3920533706744296,0.0,7.543380481776872,0.0,11.24618206036288,0.0,4.161728810701081,0.003580806379739337,4.611285979342262
poisson_10,0.5,1.5,0.5,0.5,1.0,4.5,46.5,1200.0,103.24225005455617,93.2408333878895,1200.0,9.6,0.008,8.365108041352979,6.76668743446573,22.667528286231697,97.62481535138184,34.34056961858513,22.15758357863692,358.9784255608855,16.713070826833917,108.5432076320756,36.87195855527132,73.51435667880091,14.869963224837301,3.1819323863315883,1.0086732533609255,8.180524251811459,2.4988333333333332,0.0,10.001416666666668,0.0,63.51294001213422,5.320576879435039,3.4023180371864385,0.0,7.734585205984632,0.0,5.586059534727565,0.030037309255834414,12.46859872961074,0.0,2.3297828590710674
poisson_10,0.5,1.5,1.5,0.5,0.5,4.5,46.5,1200.0,103.33322738903409,93.33181072236742,1200.0,7.5,0.00625,7.856037221934864,6.955728940356136,17.0847549690339,99.14326939707091,31.44587103645473,24.360869869807406,286.85710688309,19.375111873273404,109.16890506446722,40.522239974231,73.1739676898327,14.847809273676944,3.1805626638264815,1.0095098096267419,8.163236800223721,2.4945,0.0,10.001416666666668,0.0,63.17255102316602,5.337949309471638,3.4021372316777394,0.0,3.80887974495682,0.0,5.776246698596469,0.015851676198735627,12.5037874726338,2.6775114235528266,6.9998764171429695
poisson_10,0.5,1.5,1.0,0.5,1.0,4.5,46.5,1200.0,104.04746626073681,94.04604959407015,1200.0,8.1,0.006750000000000001,6.120933916320998,4.6561068043278535,16.30863372753949,98.75073468255644,34.65113215814877,25.403610731019665,379.6901320221725,16.734669614800993,110.91163025729891,39.294357352178054,73.47507634823886,14.87686617168298,3.1826723988605172,1.0096229410702202,8.183070831752241,2.5015,0.0,10.001416666666668,0.0,63.47365968157224,5.3369785866733,3.402740636660609,0.0,7.626982917862128,0.0,5.714597421107899,0.028078380467013154,12.47791453783862,0.0038694170479188265,4.703195454520578
poisson_10,0.5,1.0,1.0,1.0,0.5,4.5,46.5,1200.0,104.14282207097388,94.14140540430722,1200.0,10.8,0.009,6.520460860063247,5.659326811336299,16.66518779275996,95.8375689804148,41.74726576438746,23.923882220394436,502.77671932623963,16.698359106283085,108.81549698411393,37.0934520316507,73.5491841043173,14.871219954429018,3.196181185564598,1.0108176788129069,8.168804423384847,2.4954166666666664,0.0,10.001416666666668,0.0,63.54776743765061,5.326256350328455,3.4008897212013465,0.0,3.8263869408032014,0.0,11.538517026028881,0.0,8.313902398303437,0.007117147005185927,4.680382447980191
poisson_10,0.5,0.5,0.5,1.0,1.5,4.5,46.5,1200.0,104.39080563077805,94.38938896411138,1200.0,19.6,0.01633333333333333,8.189975305761811,6.480981864719541,25.74167524924399,91.65134679098345,50.938439693605844,17.843013342371684,526.5343775500035,16.68192828501772,109.84208415672315,38.01932705823809,73.641023314477,14.863662069025773,3.1793935670082503,1.007547349868902,8.176304485481953,2.5004166666666667,0.0,10.001416666666668,0.0,63.63960664781037,5.326230232527514,3.395720618145181,0.0,11.331843081854194,0.0,11.48028384264669,0.0,4.164640006639668,0.0,2.320609276424838
poisson_10,0.5,0.5,0.5,1.5,0.5,4.5,46.5,1200.0,104.63880331633543,94.63738664966877,1200.0,17.4,0.014499999999999999,8.531599296885455,6.5737843091088735,25.169686298552183,91.33211326400436,52.700983022292974,17.843013342371684,536.3626984361983,16.698325147297943,107.6073893676579,36.09818103564592,73.32179520894434,14.885738270365584,3.1826515397668578,1.0076345074932749,8.189285556438787,2.5061666666666667,0.0,10.001416666666668,0.0,63.32037854227765,5.326388051092298,3.3965251804504684,0.0,3.7379785571488098,0.0,17.137811542866913,0.0,4.160632365086452,0.0,2.3388453390009785
poisson_10,0.5,0.5,1.5,1.0,1.0,4.5,46.5,1200.0,104.6804725207879,94.67905585412124,1200.0,14.5,0.012083333333333335,7.863377770693236,7.020425214490714,22.80132297030535,95.21539623409727,44.43620546189938,17.16289883743283,482.3103199912136,19.238002094890565,110.73020663561582,41.4558907284334,73.66417429804878,14.848143704024206,3.1650553405382027,1.0025729929485032,8.184932037204172,2.4955833333333333,0.0,10.001416666666668,0.0,63.6627576313821,5.331168748043227,3.4008972013062175,0.0,7.575516214357721,0.0,11.387198353134995,0.0,4.148264773706634,2.556845969104963,7.0559994687796435
poisson_10,0.5,1.0,0.5,1.0,1.0,4.5,46.5,1200.0,104.9537896442658,94.95237297759914,1200.0,11.0,0.009166666666666667,8.566691361262643,7.328142853407213,23.197738839804057,95.23752679359923,44.4145234254574,19.24792420409573,507.8074715479546,16.688493760130264,109.91455516817173,38.262694138114895,73.47472695652819,14.865627833658928,3.1759345323993657,1.0039249606985732,8.186851673894324,2.4989166666666667,0.0,10.001416666666668,0.0,63.473310289861544,5.325707553836578,3.4065836661180633,0.0,7.545393850052733,0.0,11.347313874601276,0.0,8.322331251689167,0.0,2.315363941817073
