LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
225692,198879,TRUE,111,559,1185
365991,853784,TRUE,39,244,833
182016,400377,FALSE,127,456,988
238838,416826,TRUE,106,266,-1
303418,582632,TRUE,95,225,1120
272957,453201,FALSE,58,191,-1
13603,193088,TRUE,7,552,1098
319739,1562749,FALSE,3,1227,-1
16616,87881,TRUE,285,231,605
144132,663000,FALSE,275,556,981
236803,373645,TRUE,317,1010,1305
249873,446953,TRUE,317,307,939
247026,618340,FALSE,313,616,772
16158,59394,TRUE,313,149,370
234456,620911,TRUE,315,315,624
135411,322565,TRUE,316,224,521
207707,332005,FALSE,312,272,506
16158,49659,TRUE,310,555,954
204718,397626,TRUE,314,357,-1
138686,259180,TRUE,315,213,562
135411,181121,TRUE,315,148,538
243615,270067,FALSE,314,358,776
321540,458406,TRUE,317,247,1133
234037,454117,FALSE,318,478,965
84434,168885,FALSE,318,286,-1
248487,308448,TRUE,313,553,1010
265200,555900,TRUE,313,412,892
42673,127497,TRUE,310,104,654
13391,44104,TRUE,312,519,1018
132949,271083,TRUE,312,217,682
265200,102000,TRUE,311,372,1339
138323,577117,FALSE,311,412,868
87848,163485,TRUE,311,357,682
132949,186875,TRUE,315,454,945
107704,46642,TRUE,314,365,1302
268406,450483,FALSE,312,177,407
303418,554992,TRUE,312,237,517
284058,485502,FALSE,312,513,996
27241,44105,FALSE,308,392,987
26110,294329,FALSE,306,198,514
287627,430894,TRUE,307,252,681
16158,121274,TRUE,309,185,-1
248487,436583,FALSE,309,268,989
65634,190258,TRUE,307,218,622
228717,315743,TRUE,311,283,874
184433,152019,TRUE,309,207,-1
33461,152758,TRUE,311,472,741
53347,147616,TRUE,312,400,1029
53354,135532,TRUE,311,225,-1
16158,25215,FALSE,310,468,1591
16158,81121,TRUE,309,189,521
16158,166839,FALSE,307,321,1039
255000,846600,TRUE,310,666,1130
146007,368446,TRUE,310,164,484
14781,91005,FALSE,309,218,-1
245662,114642,TRUE,281,549,1200
16616,71147,FALSE,288,325,974
80445,170964,FALSE,290,325,974
134722,150573,TRUE,301,279,624
215178,548135,FALSE,240,352,741
150458,241658,TRUE,306,314,700
15453,170770,TRUE,303,479,951
50205,250572,FALSE,298,287,-1
35210,80217,TRUE,296,587,1231
298864,627615,FALSE,294,213,623
164773,262622,TRUE,294,227,713
153864,181090,FALSE,287,318,619
275000,895000,FALSE,297,282,762
224400,581400,TRUE,288,331,776
14529,64661,TRUE,289,363,939
317156,549317,TRUE,289,318,628
153864,398991,FALSE,292,318,598
53354,168922,TRUE,292,339,1056
106090,265346,TRUE,289,317,589
15846,127473,TRUE,288,335,815
315235,558826,TRUE,287,113,485
16158,109330,TRUE,288,272,616
210412,458216,TRUE,290,195,463
306000,624240,FALSE,290,358,1098
212354,85607,TRUE,296,213,674
249154,572426,FALSE,287,162,493
194777,142800,FALSE,300,968,1102
261926,418107,TRUE,299,317,1266
255000,642600,FALSE,300,646,1042
177485,559108,TRUE,300,237,651
63718,221493,TRUE,300,379,885
142650,292817,TRUE,302,244,-1
257553,328146,TRUE,302,273,-1
73579,202372,TRUE,300,238,597
334941,460674,TRUE,300,175,-1
349362,524558,FALSE,300,266,678
20387,96365,TRUE,302,275,867
302302,453456,FALSE,305,181,437
130340,447453,TRUE,303,279,-1
243615,334106,TRUE,302,336,1001
271805,544361,TRUE,301,191,430
144828,337881,TRUE,295,154,359
136132,196647,TRUE,291,142,-1
181087,276788,TRUE,292,204,727
179903,191028,FALSE,298,290,1339
20795,102091,TRUE,301,391,853
321935,524125,FALSE,308,188,679
141090,293897,TRUE,300,126,506
62454,234133,FALSE,300,207,647
289494,608034,FALSE,309,393,811
270511,405713,TRUE,309,217,758
272316,429087,TRUE,309,259,848
248758,400480,FALSE,310,188,693
153000,255000,TRUE,294,444,1031
110373,191698,TRUE,305,237,861
208812,515248,TRUE,305,545,856
285570,546875,FALSE,305,234,861
296725,444868,FALSE,305,233,868
180968,613528,TRUE,305,233,799
408000,612000,FALSE,305,385,776
110373,419524,FALSE,305,232,890
179903,347152,TRUE,305,233,881
262744,394120,FALSE,305,233,881
32332,78537,TRUE,305,892,1178
110373,173859,TRUE,305,234,905
224400,676260,FALSE,305,598,1018
289926,434324,TRUE,305,233,905
126759,325965,FALSE,305,647,1163
110373,241833,TRUE,305,237,912
255000,586500,FALSE,297,234,912
144360,101855,TRUE,298,288,-1
108209,241696,TRUE,305,232,975
281107,509264,FALSE,305,262,1654
166638,397338,TRUE,303,233,905
132616,256823,TRUE,303,451,1079
243615,475407,TRUE,303,465,1158
110373,233646,TRUE,300,233,920
110373,192355,TRUE,300,234,933
186415,348563,TRUE,300,286,625
150458,332285,TRUE,300,198,590
142650,220316,TRUE,303,234,920
278252,695632,FALSE,305,346,769
110373,195471,FALSE,305,237,899
147945,316022,TRUE,305,384,965
120361,254190,TRUE,305,237,572
275400,641580,TRUE,305,799,1094
306220,459331,FALSE,305,237,548
135411,263307,FALSE,303,192,608
127888,260300,TRUE,305,233,545
114933,223691,TRUE,307,237,541
232078,477022,FALSE,265,211,1053
150458,299424,TRUE,263,342,1156
155390,101005,TRUE,272,234,653
291649,618340,FALSE,278,196,659
294855,1102706,FALSE,292,520,920
156188,390488,TRUE,305,234,835
224400,821100,TRUE,305,233,854
126248,265745,TRUE,305,234,833
