LandValue,ImprovementValue,OwnerOccupied,Neighbours,PermitApplicationTime,ReconstructionCompletionTime
132281,229343,FALSE,842,322,764
84826,160368,TRUE,838,219,570
215702,373024,FALSE,828,323,822
58865,155353,TRUE,820,336,678
58865,188534,TRUE,819,307,812
133793,344003,TRUE,797,162,421
111394,293235,FALSE,867,153,388
206113,437991,TRUE,883,555,764
216418,412226,FALSE,895,289,605
58865,131539,FALSE,909,225,531
106519,229977,TRUE,923,320,938
271320,406980,FALSE,909,168,728
206113,408537,TRUE,895,584,840
242348,363525,TRUE,883,332,626
115110,206029,FALSE,869,197,569
200792,301188,FALSE,850,219,604
58865,208088,TRUE,832,294,846
266916,400374,FALSE,832,300,728
226002,425726,TRUE,828,219,463
112839,164752,TRUE,828,219,463
127463,181006,FALSE,883,219,442
216408,324615,FALSE,884,219,463
79564,167984,FALSE,879,219,-1
58865,180541,TRUE,879,219,435
122698,175057,TRUE,895,188,573
266220,398820,FALSE,918,259,546
121342,182016,TRUE,918,219,518
204695,306766,FALSE,914,246,513
187168,407073,TRUE,914,322,871
58865,163736,TRUE,923,219,636
246820,370488,FALSE,893,602,815
58865,153615,FALSE,880,224,596
58865,148830,FALSE,866,406,798
127659,199070,TRUE,846,220,506
58865,159136,FALSE,832,220,503
157676,214357,FALSE,819,626,833
283560,425340,TRUE,786,596,891
133793,399053,FALSE,760,213,651
160766,443978,TRUE,748,290,615
173443,180349,FALSE,1002,245,890
124965,181625,FALSE,1002,253,843
227477,341216,TRUE,1002,279,654
79564,179483,TRUE,1002,283,555
162931,154585,FALSE,1002,653,867
204000,438600,TRUE,1002,784,1028
55182,227890,FALSE,1001,406,726
185659,333697,FALSE,987,484,1066
181201,66817,FALSE,985,246,-1
278460,464100,TRUE,986,617,962
55182,137976,TRUE,987,178,555
104431,215186,TRUE,987,258,682
113588,324748,TRUE,987,366,1046
136472,309808,TRUE,987,188,504
136472,347641,TRUE,987,353,1105
210235,87597,FALSE,987,674,857
55182,165570,TRUE,980,210,402
195214,292549,TRUE,975,168,604
206113,432838,TRUE,975,300,729
57710,142488,FALSE,975,241,504
135961,163162,TRUE,976,280,616
160901,241352,FALSE,978,274,723
209078,321660,FALSE,979,192,637
168187,427684,FALSE,978,443,776
150000,71511,FALSE,973,566,1212
206113,489519,TRUE,960,350,794
198684,298029,TRUE,965,252,1056
247544,313553,TRUE,967,461,923
55182,137797,TRUE,965,175,470
160901,272302,FALSE,965,274,716
97237,164422,TRUE,965,261,751
161717,313045,FALSE,964,251,674
204000,507450,TRUE,963,714,1091
115860,228688,FALSE,963,434,742
150123,349994,TRUE,963,311,1066
55182,136137,FALSE,952,197,400
216418,377542,FALSE,941,313,623
55182,165570,TRUE,932,197,400
229664,378095,TRUE,929,351,759
133478,297301,TRUE,925,262,680
63123,143385,FALSE,912,688,1056
250000,615000,FALSE,911,140,678
57710,147897,TRUE,912,227,598
156188,319344,TRUE,912,227,518
150123,451687,TRUE,912,196,450
133478,243178,FALSE,912,171,387
117574,134817,TRUE,925,142,400
55182,137054,FALSE,932,191,472
216418,392582,TRUE,931,381,717
72139,140683,FALSE,928,177,535
206113,489519,FALSE,928,329,875
60700,163366,TRUE,928,232,493
57710,240267,FALSE,950,377,731
130340,285366,TRUE,953,119,346
109731,289287,TRUE,952,79,374
259702,389502,TRUE,961,197,428
